N°;Lista;Candidato;Campo;Valor exacto;Unidad/moneda;URL oficial;Fecha consulta;Notas;Clave BibTeX sugerida
161;OSS;Nuclio;Kafka partition mapping;one partition / one replica;design;https://docs.nuclio.io/en/stable/reference/triggers/kafka.html;2026-09-20;sequential processing;nuclio2026kafka
162;OSS;Nuclio;Dealer component;exists;architecture;https://docs.nuclio.io/en/latest/concepts/architecture.html;2026-09-20;distributes N resources to M processors;nuclio2026architecture
163;OSS;Nuclio;Latest release listed;1.17.8;version;https://github.com/nuclio/nuclio/releases;2026-09-20;~2026-09-10;nuclio2026releases
164;OSS;Nuclio;Precio;N/A;OSS;https://docs.nuclio.io/en/stable/reference/triggers/;2026-09-20;;nuclio2026triggers
165;OSS;Fn Project;Relación OCI Functions;powered by the Fn Project open source engine;quote;https://docs.oracle.com/en-us/iaas/Content/Functions/Concepts/functionsoverview.htm;2026-09-20;;oracle2026fnoverview
166;OSS;Fn Project;Precio;N/A;OSS;https://fnproject.io/;2026-09-20;;fnproject2026product
167;OSS;WasmEdge;Tipo;Wasm runtime (CNCF sandbox);classification;https://www.cncf.io/projects/wasmedge/;2026-09-20;not full FaaS alone;cncf2026wasmedge
168;OSS;WasmEdge;Precio;N/A;OSS;https://wasmedge.org/;2026-09-20;;wasmedge2026site
169;OSS;Direktiv;Descripción;cloud-agnostic serverless flow engine on Kubernetes/Knative;model;https://docs.direktiv.io/;2026-09-20;YAML flows;direktiv2026docs
170;OSS;Direktiv;Precio managed;no publicado;N/A;https://docs.direktiv.io/;2026-09-20;"OSS self-hosted; no managed price list in consulted docs";direktiv2026docs
171;OSS;Direktiv;CNCF landscape entry;present in landscape.yml;status;https://raw.githubusercontent.com/cncf/landscape/master/landscape.yml;2026-09-20;not asserting graduated/incubating membership;direktiv2026landscape
172;OSS;Direktiv;Chart release;direktiv-0.10.0;version;https://github.com/direktiv/direktiv/releases;2026-09-20;GitHub datetime 2025-10-21T12:23:11Z ≈ 2025-10-21 09:23 America/Santiago;direktiv2026releases
173;OSS;Direktiv;App tag;v0.8.10;version;https://github.com/direktiv/direktiv/releases;2026-09-20;release notes 2024-12-12;direktiv2026releases
174;OSS;Direktiv;Repo archive status;not archived;status;https://github.com/direktiv/direktiv;2026-09-20;2026-09-20 check;direktiv2026github
175;Datos;PlanetScale;Postgres non-HA PS-5 mínimo;5;USD/month;https://planetscale.com/pricing;2026-09-20;"us-east-1; 512 MiB";planetscale2026pricing
176;Datos;PlanetScale;Postgres HA PS-5;15;USD/month;https://planetscale.com/pricing;2026-09-20;us-east-1 3-node;planetscale2026pricing
177;Datos;PlanetScale;Neki PS-10 arm64;30;USD/month;https://planetscale.com/pricing;2026-09-20;3-node shard SKU example;planetscale2026pricing
178;Datos;PlanetScale;Hobby upgrade deadline;2024-04-08;date;https://planetscale.com/docs/plans/hobby-plan-deprecation-faq;2026-09-20;then sleep mode;planetscale2026hobbydeprecate
179;Datos;PlanetScale;Hobby new creation stop;2024-03-06;date;https://planetscale.com/docs/plans/hobby-plan-deprecation-faq;2026-09-20;no longer possible to create;planetscale2026hobbydeprecate
180;Datos;Turso;Plan Free;0;USD/month;https://turso.tech/pricing;2026-09-20;"100 DBs; 5GB; 500M rows read; 10M rows written";turso2026pricing
181;Datos;Turso;Free rows read;500000000;rows/month;https://turso.tech/pricing;2026-09-20;;turso2026pricing
182;Datos;Turso;Free rows written;10000000;rows/month;https://turso.tech/pricing;2026-09-20;;turso2026pricing
183;Datos;Turso;Free storage;5;GB;https://turso.tech/pricing;2026-09-20;;turso2026pricing
184;Datos;Turso;Developer from;4.99;USD/month;https://turso.tech/pricing;2026-09-20;annual display;turso2026pricing
185;Datos;Turso;Overage storage;0.75;USD/GB;https://turso.tech/pricing;2026-09-20;;turso2026pricing
186;Datos;Turso;Overage rows read;1;USD/Billion;https://turso.tech/pricing;2026-09-20;;turso2026pricing
187;Datos;Turso;Overage rows written;1;USD/Million;https://turso.tech/pricing;2026-09-20;;turso2026pricing
188;Datos;Upstash Redis;Commands;0.20;USD/100K commands;https://upstash.com/docs/redis/overall/billing;2026-09-20;;upstash2026redisbilling
189;Datos;Upstash Redis;Max commands/sec Free/PAYG;10000;commands/sec;https://upstash.com/docs/redis/overall/billing;2026-09-20;;upstash2026redisbilling
190;Datos;Upstash Redis;Storage PAYG;0.25;USD/GB/month;https://upstash.com/docs/redis/overall/billing;2026-09-20;first 1 GB free;upstash2026redisbilling
191;Datos;Upstash Redis;Bandwidth free;200;GB/month;https://upstash.com/docs/redis/overall/billing;2026-09-20;then $0.03/GB;upstash2026redisbilling
192;Datos;Upstash Redis;Bandwidth overage;0.03;USD/GB;https://upstash.com/docs/redis/overall/billing;2026-09-20;;upstash2026redisbilling
193;Datos;Upstash Redis;Global DB replicated writes;each replicated write counts as a command;billing rule;https://upstash.com/docs/redis/overall/billing;2026-09-20;;upstash2026redisbilling
194;Datos;CockroachDB Cloud / Basic;RU price;0.20;USD/1M Request Units;https://docs.cockroachlabs.com/docs/cockroachcloud/plan-your-cluster-basic;2026-09-20;;cockroach2026basicproduct
195;Datos;CockroachDB Cloud / Basic;Storage price;0.50;USD/GiB;https://docs.cockroachlabs.com/docs/cockroachcloud/plan-your-cluster-basic;2026-09-20;;cockroach2026basicproduct
196;Datos;CockroachDB Cloud / Basic;Free monthly resource benefit;15;USD/month;https://docs.cockroachlabs.com/docs/cockroachcloud/plan-your-cluster-basic;2026-09-20;≈50M RU + 10 GiB for PAYG orgs;cockroach2026basicproduct
197;Datos;CockroachDB Cloud / Basic;Free RU equivalent;50000000;Request Units;https://docs.cockroachlabs.com/docs/cockroachcloud/plan-your-cluster-basic;2026-09-20;;cockroach2026basicproduct
198;Datos;CockroachDB Cloud / Basic;Free storage equivalent;10;GiB;https://docs.cockroachlabs.com/docs/cockroachcloud/plan-your-cluster-basic;2026-09-20;;cockroach2026basicproduct
199;Datos;CockroachDB Cloud / Basic;Ideal RU/s ceiling (docs);30000;RU/second;https://docs.cockroachlabs.com/docs/cockroachcloud/plan-your-cluster-basic;2026-09-20;≈60 vCPU noted in docs;cockroach2026basicproduct
200;Datos;CockroachDB Cloud / Basic;Continuum Standard example rate;0.092;USD/vCPU-hour;https://www.cockroachlabs.com/pricing/;2026-09-20;"AWS us-east-1; new orgs on/after 2026-09-15";cockroach2026pricing
201;Datos;CockroachDB Cloud / Basic;Continuum free trial;400;USD credit / 30 days;https://www.cockroachlabs.com/pricing/;2026-09-20;new Cloud organizations;cockroach2026pricing
202;Datos;CockroachDB Cloud / Basic;Continuum applicability date;2026-09-15;date;https://www.cockroachlabs.com/pricing/;2026-09-20;new deployments on/after;cockroach2026pricing
203;Datos;MongoDB Atlas (Serverless → Flex);End of creation Serverless instances;February 2025;date;https://www.mongodb.com/docs/atlas/flex-migration/;2026-09-20;can no longer create;mongodb2026flexmigration
204;Datos;MongoDB Atlas (Serverless → Flex);End of support Serverless instances;2026-01-22;date;https://www.mongodb.com/docs/atlas/flex-migration/;2026-09-20;migrate Free/Flex/Dedicated;mongodb2026flexmigration
205;Datos;MongoDB Atlas (Serverless → Flex);Rol en pool;nota de descarte/migración;status;https://www.mongodb.com/docs/atlas/flex-migration/;2026-09-20;not a live 'otro' to pick;mongodb2026flexmigration
206;Datos;Firestore;Document reads Standard us-central1;0.03;USD/100000;https://cloud.google.com/firestore/pricing;2026-09-20;Iowa;firestore2026pricing
207;Datos;Firestore;Document writes Standard us-central1;0.09;USD/100000;https://cloud.google.com/firestore/pricing;2026-09-20;;firestore2026pricing
208;Datos;Firestore;Document deletes Standard us-central1;0.01;USD/100000;https://cloud.google.com/firestore/pricing;2026-09-20;;firestore2026pricing
209;Datos;Firestore;Stored data unit price;0.000205479;USD/GiB;https://cloud.google.com/firestore/pricing;2026-09-20;unit price table;firestore2026pricing
210;Datos;Firestore;Free tier stored;1;GiB;https://cloud.google.com/firestore/pricing;2026-09-20;;firestore2026pricing
211;Datos;Firestore;Free tier reads/day;50000;reads/day;https://cloud.google.com/firestore/pricing/;2026-09-20;;firestore2026pricing
212;Datos;Firestore;Free tier writes/day;20000;writes/day;https://cloud.google.com/firestore/pricing;2026-09-20;;firestore2026pricing
213;Datos;Firestore;Free tier deletes/day;20000;deletes/day;https://cloud.google.com/firestore/pricing;2026-09-20;;firestore2026pricing
214;Datos;Firestore;Free tier outbound/month;10;GiB/month;https://cloud.google.com/firestore/pricing;2026-09-20;;firestore2026pricing
215;Datos;Firestore;Max document size;1;MiB;https://firebase.google.com/docs/firestore/quotas;2026-09-20;;firestore2026quotas
216;Datos;Firestore;Writes/sec per document fixed max;no publicado;N/A;https://firebase.google.com/docs/firestore/quotas;2026-09-20;workload-dependent;firestore2026quotas
217;Datos;Firestore;Enterprise Read Units example;0.05;USD/1000000 count;https://cloud.google.com/firestore/enterprise/pricing;2026-09-20;distinct KiB units;firestore2026enterprisepricing
